,d4v41 PRX,something PRX,mindfreak PRX,f0rsakeN PRX,Jinggg PRX
CHICHOO EDG,7 9 -2,7 4 +3,7 7 +0,13 6 +7,10 7 +3
S1Mon EDG,6 5 +1,8 6 +2,5 6 -1,9 6 +3,4 9 -5
nobody EDG,6 5 +1,6 9 -3,12 10 +2,4 7 -3,11 8 +3
Smoggy EDG,11 6 +5,12 7 +5,9 6 +3,12 10 +2,8 2 +6
ZmjjKK EDG,9 7 +2,9 13 -4,8 8 +0,3 8 -5,9 6 +3
