,d4v41 PRX,something PRX,mindfreak PRX,f0rsakeN PRX,Jinggg PRX
CHICHOO EDG,,,1 0 +1,,2 0 +2
S1Mon EDG,1 0 +1,2 0 +2,,,
nobody EDG,,,0 1 -1,,
Smoggy EDG,1 0 +1,,,1 0 +1,1 0 +1
ZmjjKK EDG,0 1 -1,3 1 +2,,1 0 +1,1 0 +1
