,d4v41 PRX,something PRX,mindfreak PRX,f0rsakeN PRX,Jinggg PRX
CHICHOO EDG,,0 1 -1,,1 0 +1,1 0 +1
S1Mon EDG,1 0 +1,,,,
nobody EDG,,2 0 +2,,0 1 -1,0 1 -1
Smoggy EDG,,0 2 -2,,0 1 -1,1 0 +1
ZmjjKK EDG,1 0 +1,0 2 -2,,,1 0 +1
