,d4v41 PRX,something PRX,mindfreak PRX,f0rsakeN PRX,Jinggg PRX
CHICHOO EDG,2 4 -2,5 1 +4,1 3 -2,6 1 +5,3 2 +1
S1Mon EDG,0 1 -1,4 2 +2,2 4 -2,4 0 +4,2 5 -3
nobody EDG,2 2 +0,1 5 -4,7 4 +3,3 1 +2,5 3 +2
Smoggy EDG,5 5 +0,3 2 +1,3 3 +0,5 0 +5,1 1 +0
ZmjjKK EDG,7 5 +2,4 3 +1,2 4 -2,1 3 -2,6 1 +5
