,d4v41 PRX,something PRX,mindfreak PRX,f0rsakeN PRX,Jinggg PRX
CHICHOO EDG,,1 1 +0,1 0 +1,2 0 +2,4 0 +4
S1Mon EDG,2 0 +2,2 0 +2,,1 0 +1,
nobody EDG,,2 1 +1,0 2 -2,1 1 +0,1 2 -1
Smoggy EDG,1 0 +1,0 2 -2,1 0 +1,2 1 +1,2 0 +2
ZmjjKK EDG,2 3 -1,4 3 +1,0 2 -2,2 0 +2,5 0 +5
