,ban GE,yoman GE,UdoTan GE,Papi GE,Kr1stal GE
free1ng DRX,7 3 +4,3 1 +2,3 4 -1,3 2 +1,4 2 +2
Flashback DRX,2 2 +0,1 3 -2,1 6 -5,2 2 +0,2 1 +1
HYUNMIN DRX,3 2 +1,3 1 +2,4 5 -1,1 4 -3,5 3 +2
MaKo DRX,2 2 +0,4 3 +1,6 7 -1,5 1 +4,2 2 +0
Estrella DRX,2 3 -1,6 3 +3,2 2 +0,5 1 +4,3 3 +0
