,ban GE,yoman GE,UdoTan GE,Papi GE,Kr1stal GE
free1ng DRX,1 0 +1,,0 2 -2,,0 1 -1
Flashback DRX,,,,,0 1 -1
HYUNMIN DRX,,1 1 +0,1 1 +0,0 1 -1,3 0 +3
MaKo DRX,,0 2 -2,2 0 +2,1 0 +1,
Estrella DRX,,2 1 +1,1 0 +1,,0 1 -1
