,ban GE,yoman GE,UdoTan GE,Papi GE,Kr1stal GE
free1ng DRX,8 7 +1,8 5 +3,7 9 -2,5 3 +2,6 6 +0
Flashback DRX,5 7 -2,3 6 -3,3 8 -5,7 5 +2,7 5 +2
HYUNMIN DRX,10 8 +2,8 1 +7,9 10 -1,4 10 -6,10 6 +4
MaKo DRX,7 3 +4,8 6 +2,9 12 -3,7 4 +3,10 2 +8
Estrella DRX,3 6 -3,7 3 +4,5 7 -2,8 3 +5,3 5 -2
