,ban GE,yoman GE,UdoTan GE,Papi GE,Kr1stal GE
free1ng DRX,1 1 +0,2 1 +1,0 2 -2,,0 2 -2
Flashback DRX,2 2 +0,,0 1 -1,0 1 -1,1 1 +0
HYUNMIN DRX,3 0 +3,1 1 +0,2 1 +1,1 1 +0,3 0 +3
MaKo DRX,,0 3 -3,3 0 +3,1 0 +1,
Estrella DRX,0 1 -1,2 1 +1,1 2 -1,,0 2 -2
