,ban GE,yoman GE,UdoTan GE,Papi GE,Kr1stal GE
free1ng DRX,1 4 -3,5 4 +1,4 5 -1,2 1 +1,2 4 -2
Flashback DRX,3 5 -2,2 3 -1,2 2 +0,5 3 +2,5 4 +1
HYUNMIN DRX,7 6 +1,5 0 +5,5 5 +0,3 6 -3,5 3 +2
MaKo DRX,5 1 +4,4 3 +1,3 5 -2,2 3 -1,8 0 +8
Estrella DRX,1 3 -2,1 0 +1,3 5 -2,3 2 +1,0 2 -2
