,Jinggg PRX,something PRX,PatMen PRX,d4v41 PRX,f0rsakeN PRX
Boaster FNC,1 2 -1,0 4 -4,3 3 +0,1 3 -2,4 2 +2
crashies FNC,2 1 +1,4 4 +0,2 4 -2,2 2 +0,4 5 -1
Chronicle FNC,5 3 +2,2 3 -1,1 4 -3,2 3 -1,0 5 -5
kaajak FNC,6 3 +3,7 3 +4,6 3 +3,5 6 -1,6 2 +4
doma FNC,4 4 +0,4 2 +2,2 1 +1,2 4 -2,1 3 -2
