,Jinggg PRX,something PRX,PatMen PRX,d4v41 PRX,f0rsakeN PRX
Boaster FNC,0 1 -1,,,,0 2 -2
crashies FNC,,,,,0 1 -1
Chronicle FNC,1 0 +1,2 0 +2,,,
kaajak FNC,1 1 +0,4 3 +1,,0 1 -1,0 1 -1
doma FNC,0 1 -1,2 0 +2,,0 1 -1,
