,Jinggg PRX,something PRX,PatMen PRX,d4v41 PRX,f0rsakeN PRX
Boaster FNC,1 0 +1,,2 0 +2,,
crashies FNC,,0 2 -2,,,
Chronicle FNC,1 0 +1,0 2 -2,,,
kaajak FNC,2 0 +2,2 1 +1,1 0 +1,2 0 +2,1 0 +1
doma FNC,,,,,
