,Jinggg PRX,something PRX,PatMen PRX,d4v41 PRX,f0rsakeN PRX
Boaster FNC,3 7 -4,2 0 +2,4 2 +2,3 0 +3,2 5 -3
crashies FNC,2 2 +0,1 3 -2,1 3 -2,3 5 -2,2 1 +1
Chronicle FNC,4 3 +1,8 3 +5,5 3 +2,7 3 +4,7 2 +5
kaajak FNC,5 4 +1,4 4 +0,4 2 +2,2 4 -2,4 4 +0
doma FNC,3 3 +0,2 3 -1,2 1 +1,2 5 -3,3 3 +0
