,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
crashies FNC,,4 Round 2 f0rsakeN d4v41 Round 4 Jinggg f0rsakeN Round 13 Jinggg PatMen Round 16 f0rsakeN Jinggg,,,,2 Round 2 d4v41 Round 9 Jinggg,,,,,55,2,0
Boaster FNC,,2 Round 8 d4v41 PatMen Round 15 f0rsakeN d4v41,1 Round 16 something PatMen d4v41,,,,,,,,31,3,1
Chronicle FNC,,3 Round 8 f0rsakeN Jinggg Round 13 d4v41 something Round 14 Jinggg something,1 Round 11 f0rsakeN Jinggg something,1 Round 17 something d4v41 Jinggg PatMen,,,,1 Round 11 Jinggg f0rsakeN something,,,83,4,0
doma FNC,,5 Round 6 something Jinggg Round 7 f0rsakeN something Round 11 d4v41 PatMen Round 14 f0rsakeN PatMen Round 15 Jinggg PatMen,,,,,,,,,48,0,0
kaajak FNC,,2 Round 2 something PatMen Round 3 f0rsakeN PatMen,1 Round 9 f0rsakeN something PatMen,1 Round 12 f0rsakeN PatMen Jinggg something,,,,,,,76,1,0
Jinggg PRX,,2 Round 9 Chronicle kaajak Round 12 Boaster doma,,,,,,,,,40,0,0
f0rsakeN PRX,,4 Round 5 doma Boaster Round 7 kaajak Chronicle Round 11 crashies doma Round 13 doma Chronicle,1 Round 2 doma kaajak Boaster,,,,,,,,49,0,0
d4v41 PRX,,1 Round 10 kaajak crashies,,1 Round 4 Chronicle doma crashies Boaster,,,1 Round 4 crashies Boaster,,,,46,0,1
PatMen PRX,,1 Round 9 doma Boaster,,,,,,,,,32,1,0
something PRX,,2 Round 1 crashies Boaster Round 15 crashies Chronicle,,,,,,,,,33,0,1
