,Jinggg PRX,something PRX,PatMen PRX,d4v41 PRX,f0rsakeN PRX
Boaster FNC,4 11 -7,3 5 -2,10 6 +4,7 5 +2,7 10 -3
crashies FNC,7 3 +4,5 9 -4,4 9 -5,8 9 -1,11 7 +4
Chronicle FNC,16 7 +9,14 9 +5,7 7 +0,13 9 +4,9 9 +0
kaajak FNC,12 9 +3,17 7 +10,17 8 +9,8 12 -4,15 8 +7
doma FNC,9 11 -2,8 5 +3,7 3 +4,5 11 -6,7 10 -3
