,Jinggg PRX,something PRX,PatMen PRX,d4v41 PRX,f0rsakeN PRX
Boaster FNC,,,1 0 +1,,
crashies FNC,1 0 +1,0 2 -2,0 1 -1,1 0 +1,
Chronicle FNC,1 2 -1,0 2 -2,0 1 -1,0 1 -1,
kaajak FNC,3 0 +3,1 1 +0,1 0 +1,2 0 +2,1 0 +1
doma FNC,,1 0 +1,,,
