,Jinggg PRX,something PRX,PatMen PRX,d4v41 PRX,f0rsakeN PRX
Boaster FNC,0 2 -2,1 1 +0,3 1 +2,3 2 +1,1 3 -2
crashies FNC,3 0 +3,0 2 -2,1 2 -1,3 2 +1,5 1 +4
Chronicle FNC,7 1 +6,4 3 +1,1 0 +1,4 3 +1,2 2 +0
kaajak FNC,1 2 -1,6 0 +6,7 3 +4,1 2 -1,5 2 +3
doma FNC,2 4 -2,2 0 +2,3 1 +2,1 2 -1,3 4 -1
