,Askia 2G,lz 2G,gobera 2G,PxS 2G,silentzz 2G
johnqt SEN,1 1 +0,3 0 +3,3 2 +1,1 2 -1,5 1 +4
zekken SEN,5 2 +3,4 1 +3,4 2 +2,3 1 +2,4 1 +3
bang SEN,3 3 +0,5 0 +5,6 1 +5,5 1 +4,3 3 +0
Zellsis SEN,3 0 +3,2 3 -1,1 2 -1,3 3 +0,0 1 -1
N4RRATE SEN,2 1 +1,0 1 -1,2 3 -1,3 0 +3,2 3 -1
