,Askia 2G,lz 2G,gobera 2G,PxS 2G,silentzz 2G
johnqt SEN,,,1 0 +1,0 1 -1,
zekken SEN,,1 0 +1,1 1 +0,0 1 -1,1 0 +1
bang SEN,0 2 -2,2 0 +2,1 0 +1,1 0 +1,1 0 +1
Zellsis SEN,1 0 +1,,,,
N4RRATE SEN,1 0 +1,,,,1 0 +1
