,Askia 2G,lz 2G,gobera 2G,PxS 2G,silentzz 2G
johnqt SEN,3 2 +1,5 0 +5,4 2 +2,3 5 -2,7 5 +2
zekken SEN,9 3 +6,9 4 +5,9 5 +4,7 2 +5,12 4 +8
bang SEN,7 8 -1,11 2 +9,8 4 +4,6 2 +4,3 3 +0
Zellsis SEN,4 5 -1,3 6 -3,4 6 -2,6 5 +1,2 1 +1
N4RRATE SEN,5 3 +2,0 3 -3,6 4 +2,6 5 +1,5 5 +0
