,Askia 2G,lz 2G,gobera 2G,PxS 2G,silentzz 2G
johnqt SEN,2 1 +1,2 0 +2,1 0 +1,2 3 -1,2 4 -2
zekken SEN,4 1 +3,5 3 +2,5 3 +2,4 1 +3,8 3 +5
bang SEN,4 5 -1,6 2 +4,2 3 -1,1 1 +0,
Zellsis SEN,1 5 -4,1 3 -2,3 4 -1,3 2 +1,2 0 +2
N4RRATE SEN,3 2 +1,0 2 -2,4 1 +3,3 5 -2,3 2 +1
