,Ethan NRG,s0m NRG,mada NRG,FiNESSE NRG,brawk NRG
mitch C9,4 1 +3,3 5 -2,5 2 +3,4 2 +2,2 5 -3
neT C9,2 3 -1,0 4 -4,4 2 +2,1 1 +0,5 3 +2
OXY C9,6 0 +6,2 4 -2,4 4 +0,7 5 +2,5 3 +2
v1c C9,2 1 +1,3 2 +1,2 7 -5,3 1 +2,2 1 +1
Xeppaa C9,5 1 +4,6 3 +3,2 4 -2,3 4 -1,1 3 -2
