,Ethan NRG,s0m NRG,mada NRG,FiNESSE NRG,brawk NRG
mitch C9,1 0 +1,0 1 -1,0 1 -1,,0 1 -1
neT C9,,,2 1 +1,,
OXY C9,0 2 -2,1 1 +0,0 1 -1,,
v1c C9,,0 1 -1,1 1 +0,,
Xeppaa C9,,0 1 -1,2 1 +1,,
