,Ethan NRG,s0m NRG,mada NRG,FiNESSE NRG,brawk NRG
mitch C9,10 3 +7,6 15 -9,9 7 +2,10 2 +8,10 15 -5
neT C9,7 9 -2,7 9 -2,10 6 +4,5 6 -1,10 8 +2
OXY C9,10 11 -1,9 11 -2,9 11 -2,10 10 +0,10 8 +2
v1c C9,6 9 -3,5 8 -3,7 12 -5,9 6 +3,5 4 +1
Xeppaa C9,15 6 +9,13 9 +4,10 8 +2,7 8 -1,5 9 -4
