,Ethan NRG,s0m NRG,mada NRG,FiNESSE NRG,brawk NRG
mitch C9,,,1 0 +1,1 0 +1,1 0 +1
neT C9,0 1 -1,,2 0 +2,,1 0 +1
OXY C9,2 0 +2,0 1 -1,1 0 +1,,1 0 +1
v1c C9,,,0 3 -3,2 0 +2,0 1 -1
Xeppaa C9,1 0 +1,,1 1 +0,0 1 -1,
