,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
mitch C9,,5 Round 3 mada brawk Round 4 s0m mada Round 10 Ethan brawk Round 13 brawk FiNESSE Round 18 s0m brawk,1 Round 2 mada brawk FiNESSE,,,,,,,,54,3,1
neT C9,,2 Round 5 brawk FiNESSE Round 13 Ethan s0m,1 Round 8 brawk Ethan s0m,,,,,,,,50,1,0
Xeppaa C9,,7 Round 2 Ethan s0m Round 7 mada brawk Round 10 mada s0m Round 12 FiNESSE Ethan Round 14 s0m mada Round 17 FiNESSE brawk Round 18 FiNESSE Ethan,,1 Round 1 mada Ethan FiNESSE s0m,,2 Round 2 s0m Round 10 s0m,1 Round 17 brawk FiNESSE,,,,86,0,2
v1c C9,,2 Round 14 brawk FiNESSE Round 16 mada Ethan,,,,,,,,,31,1,0
OXY C9,,4 Round 4 brawk Ethan Round 7 Ethan s0m Round 9 brawk s0m Round 16 brawk FiNESSE,,,,,,,,,54,0,0
FiNESSE NRG,,2 Round 8 OXY Xeppaa Round 11 neT Xeppaa,,,,,,,,,53,1,0
brawk NRG,,3 Round 1 Xeppaa mitch Round 10 neT OXY Round 17 mitch neT,,,,,1 Round 1 Xeppaa mitch,,,,37,2,0
s0m NRG,,2 Round 6 mitch neT Round 16 Xeppaa mitch,,,,,,,,,43,2,0
mada NRG,,3 Round 5 mitch Xeppaa Round 11 OXY v1c Round 15 Xeppaa OXY,,,,,,,,,54,1,1
Ethan NRG,,1 Round 6 OXY Xeppaa,1 Round 13 Xeppaa OXY v1c,,,,,,,,62,1,0
