,Ethan NRG,s0m NRG,mada NRG,FiNESSE NRG,brawk NRG
mitch C9,4 1 +3,1 6 -5,0 2 -2,4 0 +4,2 6 -4
neT C9,3 5 -2,4 3 +1,5 2 +3,1 3 -2,3 3 +0
OXY C9,1 7 -6,2 4 -2,3 2 +1,2 1 +1,1 4 -3
v1c C9,2 3 -1,2 6 -4,3 2 +1,1 4 -3,2 1 +1
Xeppaa C9,4 2 +2,2 5 -3,4 2 +2,0 2 -2,1 5 -4
