,Ethan NRG,s0m NRG,mada NRG,FiNESSE NRG,brawk NRG
mitch C9,,,0 1 -1,,
neT C9,,,0 1 -1,1 1 +0,1 0 +1
OXY C9,1 1 +0,3 0 +3,,0 1 -1,
v1c C9,,,,2 1 +1,
Xeppaa C9,0 1 -1,0 1 -1,1 0 +1,1 0 +1,
