,Ethan NRG,s0m NRG,mada NRG,FiNESSE NRG,brawk NRG
mitch C9,1 0 +1,0 1 -1,1 2 -1,1 0 +1,1 1 +0
neT C9,0 1 -1,,4 2 +2,1 1 +0,2 0 +2
OXY C9,3 3 +0,4 2 +2,1 1 +0,0 1 -1,1 0 +1
v1c C9,,0 1 -1,1 4 -3,4 1 +3,0 1 -1
Xeppaa C9,1 1 +0,0 2 -2,4 2 +2,1 1 +0,
