,Ethan NRG,s0m NRG,mada NRG,FiNESSE NRG,brawk NRG
mitch C9,2 1 +1,2 4 -2,4 3 +1,2 0 +2,6 4 +2
neT C9,2 1 +1,3 2 +1,1 2 -1,3 2 +1,2 2 +0
OXY C9,3 4 -1,5 3 +2,2 5 -3,1 4 -3,4 1 +3
v1c C9,2 5 -3,,2 3 -1,5 1 +4,1 2 -1
Xeppaa C9,6 3 +3,5 1 +4,4 2 +2,4 2 +2,3 1 +2
