,Verno MIBR,xenom MIBR,artzin MIBR,cortezia MIBR,aspas MIBR
jawgemo G2,0 3 -3,1 0 +1,3 5 -2,3 3 +0,4 6 -2
trent G2,0 1 -1,,2 1 +1,2 0 +2,0 1 -1
leaf G2,1 0 +1,0 1 -1,1 3 -2,1 0 +1,3 1 +2
valyn G2,1 1 +0,0 1 -1,2 3 -1,0 1 -1,2 3 -1
JonahP G2,1 1 +0,,2 0 +2,1 1 +0,3 2 +1
