,Verno MIBR,xenom MIBR,artzin MIBR,cortezia MIBR,aspas MIBR
jawgemo G2,4 4 +0,4 1 +3,4 1 +3,7 2 +5,6 5 +1
trent G2,2 4 -2,1 4 -3,6 1 +5,2 5 -3,3 2 +1
leaf G2,5 3 +2,6 3 +3,4 1 +3,5 4 +1,5 2 +3
valyn G2,1 7 -6,2 1 +1,2 4 -2,1 1 +0,0 2 -2
JonahP G2,2 2 +0,3 2 +1,2 1 +1,3 4 -1,4 5 -1
