,Verno MIBR,xenom MIBR,artzin MIBR,cortezia MIBR,aspas MIBR
jawgemo G2,10 12 -2,12 7 +5,16 8 +8,13 12 +1,13 12 +1
trent G2,6 9 -3,8 11 -3,13 7 +6,11 12 -1,8 10 -2
leaf G2,15 9 +6,11 10 +1,12 7 +5,11 10 +1,9 13 -4
valyn G2,9 14 -5,9 7 +2,9 10 -1,7 10 -3,10 9 +1
JonahP G2,4 10 -6,6 8 -2,7 6 +1,9 10 -1,9 13 -4
