,Verno MIBR,xenom MIBR,artzin MIBR,cortezia MIBR,aspas MIBR
jawgemo G2,0 1 -1,,1 3 -2,0 2 -2,1 2 -1
trent G2,0 1 -1,,0 1 -1,,0 1 -1
leaf G2,,,1 1 +0,1 0 +1,1 0 +1
valyn G2,,0 1 -1,,,1 0 +1
JonahP G2,1 1 +0,,1 0 +1,,1 1 +0
