,Verno MIBR,xenom MIBR,artzin MIBR,cortezia MIBR,aspas MIBR
jawgemo G2,3 6 -3,4 3 +1,5 4 +1,3 4 -1,4 4 +0
trent G2,3 2 +1,4 4 +0,6 3 +3,6 2 +4,5 4 +1
leaf G2,7 2 +5,3 3 +0,3 4 -1,4 4 +0,2 5 -3
valyn G2,2 5 -3,3 1 +2,5 3 +2,0 6 -6,5 4 +1
JonahP G2,1 4 -3,2 4 -2,2 2 +0,4 2 +2,1 6 -5
