,Verno MIBR,xenom MIBR,artzin MIBR,cortezia MIBR,aspas MIBR
jawgemo G2,3 2 +1,4 3 +1,7 3 +4,3 6 -3,3 3 +0
trent G2,1 3 -2,3 3 +0,1 3 -2,3 5 -2,0 4 -4
leaf G2,3 4 -1,2 4 -2,5 2 +3,2 2 +0,2 6 -4
valyn G2,6 2 +4,4 5 -1,2 3 -1,6 3 +3,5 3 +2
JonahP G2,1 4 -3,1 2 -1,3 3 +0,2 4 -2,4 2 +2
