,nzr FUR,Khalil FUR,havoc FUR,mwzera FUR,xand FUR
Less LOUD,,,1 0 +1,0 1 -1,
cauanzin LOUD,,1 0 +1,,1 0 +1,3 1 +2
tuyz LOUD,,,0 1 -1,,
pANcada LOUD,,1 0 +1,,0 3 -3,1 0 +1
saadhak LOUD,,0 2 -2,1 1 +0,1 1 +0,1 3 -2
