,nzr FUR,Khalil FUR,havoc FUR,mwzera FUR,xand FUR
Less LOUD,,1 0 +1,,0 2 -2,
cauanzin LOUD,,,,,0 1 -1
tuyz LOUD,,,,0 2 -2,
pANcada LOUD,2 0 +2,1 0 +1,,0 1 -1,
saadhak LOUD,,,,0 2 -2,
