,nzr FUR,Khalil FUR,havoc FUR,mwzera FUR,xand FUR
Less LOUD,,1 0 +1,1 1 +0,0 1 -1,
cauanzin LOUD,1 0 +1,1 1 +0,0 1 -1,1 1 +0,1 0 +1
tuyz LOUD,,1 0 +1,0 1 -1,1 1 +0,
pANcada LOUD,,,0 1 -1,,
saadhak LOUD,2 0 +2,0 1 -1,1 1 +0,0 1 -1,
