,nzr FUR,Khalil FUR,havoc FUR,mwzera FUR,xand FUR
Less LOUD,,,1 1 +0,0 1 -1,3 0 +3
cauanzin LOUD,,,0 2 -2,,1 0 +1
tuyz LOUD,0 1 -1,,1 0 +1,0 2 -2,
pANcada LOUD,,,1 1 +0,3 0 +3,
saadhak LOUD,,0 1 -1,1 0 +1,0 1 -1,0 2 -2
