,Jinboong DFM,Meiy DFM,Art DFM,gyen DFM,Akame DFM
BeYN DRX,,1 0 +1,,,
HYUNMIN DRX,,1 1 +0,0 1 -1,0 1 -1,0 2 -2
Flashback DRX,2 0 +2,0 1 -1,1 0 +1,2 0 +2,
MaKo DRX,,,,,
free1ng DRX,1 0 +1,1 0 +1,1 0 +1,,
