,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
free1ng DRX,,5 Round 1 Jinboong gyen Round 4 Art Akame Round 12 Jinboong Akame Round 13 Jinboong Art Round 19 Jinboong Meiy,1 Round 16 Akame gyen Meiy,,,1 Round 13 Art,,,,,57,3,0
MaKo DRX,,3 Round 2 Akame Jinboong Round 11 Meiy gyen Round 18 Meiy gyen,,,,,,,,,46,3,0
BeYN DRX,,1 Round 11 Akame Art,1 Round 21 Jinboong Art Meiy,,,,,,,,53,3,0
HYUNMIN DRX,,2 Round 1 Art Akame Round 4 Jinboong Meiy,3 Round 3 Jinboong Akame Art Round 14 Art Meiy Akame Round 20 Meiy gyen Akame,,,,,,,,65,0,0
Flashback DRX,,1 Round 20 Art Jinboong,2 Round 13 Akame Meiy gyen Round 17 Akame Art Jinboong,,,,,,,,42,0,1
Jinboong DFM,,2 Round 15 Flashback MaKo Round 20 free1ng BeYN,,,,,,,,,43,0,0
Meiy DFM,,1 Round 19 BeYN MaKo,3 Round 6 free1ng BeYN HYUNMIN Round 8 Flashback free1ng BeYN Round 14 free1ng MaKo BeYN,,,,,,,,44,0,0
Art DFM,,2 Round 2 MaKo HYUNMIN Round 10 HYUNMIN MaKo,1 Round 13 HYUNMIN MaKo Flashback,,,,,,,,63,0,2
Akame DFM,,1 Round 10 Flashback BeYN,,1 Round 9 Flashback HYUNMIN BeYN MaKo,,,,,,,54,2,2
gyen DFM,,2 Round 5 BeYN HYUNMIN Round 7 HYUNMIN free1ng,,,,,,,,,39,0,0
