,Jinboong DFM,Meiy DFM,Art DFM,gyen DFM,Akame DFM
BeYN DRX,1 2 -1,2 1 +1,4 1 +3,2 2 +0,2 1 +1
HYUNMIN DRX,2 0 +2,3 3 +0,1 1 +0,1 1 +0,1 2 -1
Flashback DRX,3 0 +3,1 3 -2,2 1 +1,5 3 +2,3 1 +2
MaKo DRX,6 0 +6,2 2 +0,3 0 +3,2 2 +0,2 2 +0
free1ng DRX,4 1 +3,6 0 +6,6 0 +6,4 1 +3,6 4 +2
