,Jinboong DFM,Meiy DFM,Art DFM,gyen DFM,Akame DFM
BeYN DRX,1 0 +1,1 0 +1,0 1 -1,0 1 -1,0 1 -1
HYUNMIN DRX,3 0 +3,2 1 +1,0 2 -2,1 1 +0,0 2 -2
Flashback DRX,2 0 +2,0 1 -1,1 1 +0,2 0 +2,2 1 +1
MaKo DRX,0 1 -1,1 0 +1,0 1 -1,,1 0 +1
free1ng DRX,2 1 +1,1 1 +0,1 0 +1,,
