,Jinboong DFM,Meiy DFM,Art DFM,gyen DFM,Akame DFM
BeYN DRX,1 0 +1,,0 1 -1,0 1 -1,0 1 -1
HYUNMIN DRX,3 0 +3,1 0 +1,0 1 -1,1 0 +1,
Flashback DRX,,,0 1 -1,,2 1 +1
MaKo DRX,0 1 -1,1 0 +1,0 1 -1,,1 0 +1
free1ng DRX,1 1 +0,0 1 -1,,,
