,Jinboong DFM,Meiy DFM,Art DFM,gyen DFM,Akame DFM
BeYN DRX,4 5 -1,3 5 -2,7 2 +5,5 3 +2,4 5 -1
HYUNMIN DRX,6 0 +6,8 5 +3,4 6 -2,3 3 +0,6 5 +1
Flashback DRX,6 1 +5,4 5 -1,5 5 +0,8 6 +2,5 3 +2
MaKo DRX,8 2 +6,7 5 +2,4 6 -2,6 2 +4,4 4 +0
free1ng DRX,8 5 +3,8 4 +4,10 0 +10,9 3 +6,10 6 +4
