,Jinboong DFM,Meiy DFM,Art DFM,gyen DFM,Akame DFM
BeYN DRX,,,,,
HYUNMIN DRX,1 0 +1,2 0 +2,,1 0 +1,1 0 +1
Flashback DRX,1 0 +1,1 2 -1,2 0 +2,1 0 +1,1 0 +1
MaKo DRX,,0 1 -1,,,
free1ng DRX,,,,,
