,Shyy KRÜ,Mazino KRÜ,keznit KRÜ,adverso KRÜ,Melser KRÜ
cortezia MIBR,,2 0 +2,,0 1 -1,
aspas MIBR,0 1 -1,1 0 +1,1 0 +1,2 0 +2,0 1 -1
artzin MIBR,0 1 -1,,2 1 +1,1 0 +1,1 1 +0
nzr MIBR,,,0 1 -1,,
xenom MIBR,,,0 4 -4,,
