,Shyy KRÜ,Mazino KRÜ,keznit KRÜ,adverso KRÜ,Melser KRÜ
cortezia MIBR,2 2 +0,3 4 -1,1 3 -2,4 2 +2,5 3 +2
aspas MIBR,3 6 -3,8 1 +7,5 1 +4,6 2 +4,2 3 -1
artzin MIBR,2 4 -2,2 4 -2,6 3 +3,1 2 -1,2 5 -3
nzr MIBR,1 5 -4,1 1 +0,3 5 -2,1 2 -1,1 5 -4
xenom MIBR,1 6 -5,1 2 -1,1 4 -3,2 2 +0,5 2 +3
