,Shyy KRÜ,Mazino KRÜ,keznit KRÜ,adverso KRÜ,Melser KRÜ
cortezia MIBR,0 1 -1,2 0 +2,,,
aspas MIBR,,1 0 +1,2 1 +1,3 0 +3,1 0 +1
artzin MIBR,,2 2 +0,0 1 -1,1 2 -1,1 0 +1
nzr MIBR,,,,,
xenom MIBR,1 0 +1,,0 1 -1,1 0 +1,1 0 +1
