,Shyy KRÜ,Mazino KRÜ,keznit KRÜ,adverso KRÜ,Melser KRÜ
cortezia MIBR,2 4 -2,4 2 +2,1 5 -4,2 5 -3,2 1 +1
aspas MIBR,3 4 -1,7 2 +5,11 2 +9,7 4 +3,1 2 -1
artzin MIBR,3 3 +0,5 3 +2,1 3 -2,4 5 -1,4 3 +1
nzr MIBR,1 2 -1,2 1 +1,3 2 +1,5 3 +2,4 4 +0
xenom MIBR,5 5 +0,0 2 -2,2 4 -2,3 1 +2,5 2 +3
