,Shyy KRÜ,Mazino KRÜ,keznit KRÜ,adverso KRÜ,Melser KRÜ
cortezia MIBR,8 9 -1,11 10 +1,6 9 -3,8 9 -1,12 5 +7
aspas MIBR,14 11 +3,22 5 +17,21 5 +16,19 8 +11,6 7 -1
artzin MIBR,5 12 -7,10 10 +0,11 9 +2,10 9 +1,7 12 -5
nzr MIBR,5 9 -4,3 2 +1,9 8 +1,7 10 -3,8 13 -5
xenom MIBR,8 16 -8,4 7 -3,4 10 -6,6 5 +1,14 5 +9
