,Shyy KRÜ,Mazino KRÜ,keznit KRÜ,adverso KRÜ,Melser KRÜ
cortezia MIBR,4 3 +1,4 4 +0,4 1 +3,2 2 +0,5 1 +4
aspas MIBR,8 1 +7,7 2 +5,5 2 +3,6 2 +4,3 2 +1
artzin MIBR,0 5 -5,3 3 +0,4 3 +1,5 2 +3,1 4 -3
nzr MIBR,3 2 +1,,3 1 +2,1 5 -4,3 4 -1
xenom MIBR,2 5 -3,3 3 +0,1 2 -1,1 2 -1,4 1 +3
