,Shyy KRÜ,Mazino KRÜ,keznit KRÜ,adverso KRÜ,Melser KRÜ
cortezia MIBR,1 0 +1,1 2 -1,1 1 +0,,
aspas MIBR,,,1 1 +0,1 0 +1,1 0 +1
artzin MIBR,0 1 -1,0 1 -1,2 1 +1,1 0 +1,1 2 -1
nzr MIBR,,,,,0 1 -1
xenom MIBR,,,1 0 +1,,
