,icy G2,leaf G2,valyn G2,JonahP G2,trent G2
s0m NRG,,2 1 +1,,,1 1 +0
FiNESSE NRG,2 0 +2,,0 1 -1,,0 1 -1
Victor NRG,0 3 -3,0 2 -2,,1 0 +1,0 2 -2
Ethan NRG,1 0 +1,1 0 +1,,0 1 -1,1 0 +1
crashies NRG,,,,,
