,icy G2,leaf G2,valyn G2,JonahP G2,trent G2
s0m NRG,1 0 +1,,,,1 0 +1
FiNESSE NRG,0 1 -1,,,,
Victor NRG,,,,,
Ethan NRG,1 0 +1,2 0 +2,3 0 +3,1 0 +1,2 0 +2
crashies NRG,,1 0 +1,,,1 0 +1
