,icy G2,leaf G2,valyn G2,JonahP G2,trent G2
s0m NRG,,0 2 -2,,,
FiNESSE NRG,1 1 +0,,,0 1 -1,
Victor NRG,1 0 +1,0 3 -3,0 1 -1,1 0 +1,1 0 +1
Ethan NRG,0 2 -2,1 0 +1,2 0 +2,,1 0 +1
crashies NRG,,,,1 0 +1,0 1 -1
