,icy G2,leaf G2,valyn G2,JonahP G2,trent G2
s0m NRG,4 2 +2,2 8 -6,3 2 +1,2 2 +0,2 2 +0
FiNESSE NRG,1 3 -2,1 4 -3,1 2 -1,1 3 -2,0 6 -6
Victor NRG,2 3 -1,2 7 -5,1 1 +0,4 2 +2,4 4 +0
Ethan NRG,2 5 -3,4 3 +1,4 5 -1,4 0 +4,4 5 -1
crashies NRG,1 1 +0,0 3 -3,1 2 -1,3 2 +1,4 4 +0
