,icy G2,leaf G2,valyn G2,JonahP G2,trent G2
s0m NRG,6 5 +1,7 14 -7,4 4 +0,4 4 +0,5 5 +0
FiNESSE NRG,4 7 -3,2 7 -5,4 4 +0,1 9 -8,2 11 -9
Victor NRG,6 7 -1,3 11 -8,4 3 +1,8 4 +4,6 7 -1
Ethan NRG,5 6 -1,6 5 +1,10 10 +0,8 2 +6,8 9 -1
crashies NRG,2 4 -2,5 3 +2,1 4 -3,4 6 -2,9 6 +3
