,icy G2,leaf G2,valyn G2,JonahP G2,trent G2
s0m NRG,,2 3 -1,,,1 1 +0
FiNESSE NRG,3 1 +2,,0 1 -1,0 1 -1,0 1 -1
Victor NRG,1 3 -2,0 5 -5,0 1 -1,2 0 +2,1 2 -1
Ethan NRG,1 2 -1,2 0 +2,2 0 +2,0 1 -1,2 0 +2
crashies NRG,,,,1 0 +1,0 1 -1
