,icy G2,leaf G2,valyn G2,JonahP G2,trent G2
s0m NRG,2 3 -1,5 6 -1,1 2 -1,2 2 +0,3 3 +0
FiNESSE NRG,3 4 -1,1 3 -2,3 2 +1,0 6 -6,2 5 -3
Victor NRG,4 4 +0,1 4 -3,3 2 +1,4 2 +2,2 3 -1
Ethan NRG,3 1 +2,2 2 +0,6 5 +1,4 2 +2,4 4 +0
crashies NRG,1 3 -2,5 0 +5,0 2 -2,1 4 -3,5 2 +3
