,kaajak FNC,Chronicle FNC,Alfajer FNC,crashies FNC,Boaster FNC
Minny M8,6 2 +4,1 2 -1,2 4 -2,2 0 +2,2 3 -1
RobbieBk M8,1 4 -3,3 3 +0,3 2 +1,1 1 +0,0 3 -3
Zyppan M8,2 6 -4,0 1 -1,1 4 -3,2 2 +0,0 1 -1
Kada M8,3 1 +2,2 3 -1,4 5 -1,2 0 +2,2 2 +0
Click M8,1 4 -3,2 3 -1,3 4 -1,1 1 +0,1 1 +0
