,kaajak FNC,Chronicle FNC,Alfajer FNC,crashies FNC,Boaster FNC
Minny M8,,,,,
RobbieBk M8,,0 3 -3,,,
Zyppan M8,,,0 2 -2,,
Kada M8,,0 1 -1,,,
Click M8,,0 1 -1,0 1 -1,,
